++flow      	++volume    	++average   	++position_x	++position_y	++radius    	
$$-12.26000	$$-0.24000	$$0.17580	$$199.00000	$$167.00000	$$8.00000	
$$-11.52000	$$-0.25000	$$0.26402	$$199.00000	$$167.00000	$$8.00000	
$$-10.48000	$$-0.25000	$$0.33913	$$199.00000	$$167.00000	$$8.00000	
$$-10.65000	$$-0.26000	$$0.40931	$$199.00000	$$167.00000	$$8.00000	
$$-11.11000	$$-0.27000	$$0.47261	$$199.00000	$$167.00000	$$8.00000	
$$-15.69000	$$-0.29000	$$0.45753	$$200.00000	$$167.00000	$$8.00000	
$$-20.91000	$$-0.30000	$$0.48836	$$200.00000	$$167.00000	$$8.00000	
$$-24.82000	$$-0.32000	$$0.54280	$$200.00000	$$167.00000	$$8.00000	
$$-29.83000	$$-0.34000	$$0.57921	$$200.00000	$$167.00000	$$8.00000	
$$-32.26000	$$-0.36000	$$0.56740	$$200.00000	$$167.00000	$$8.00000	
$$-34.52000	$$-0.38000	$$0.56084	$$200.00000	$$167.00000	$$8.00000	
$$-38.07000	$$-0.43000	$$0.56543	$$200.00000	$$167.00000	$$8.00000	
$$-39.93000	$$-0.46000	$$0.61561	$$200.00000	$$167.00000	$$8.00000	
$$-40.21000	$$-0.48000	$$0.65726	$$200.00000	$$167.00000	$$8.00000	
$$-39.29000	$$-0.51000	$$0.65038	$$200.00000	$$167.00000	$$8.00000	
$$-37.85000	$$-0.56000	$$0.66645	$$200.00000	$$167.00000	$$8.00000	
$$-36.76000	$$-0.59000	$$0.67858	$$200.00000	$$167.00000	$$8.00000	
$$-36.28000	$$-0.61000	$$0.69433	$$199.00000	$$169.00000	$$8.00000	
$$-35.12000	$$-0.63000	$$0.69957	$$199.00000	$$169.00000	$$8.00000	
$$-29.28000	$$-0.65000	$$0.72056	$$199.00000	$$169.00000	$$8.00000	
$$-5.41000	$$-0.67000	$$0.72056	$$199.00000	$$169.00000	$$8.00000	
$$13.12000	$$0.00000	$$0.71171	$$199.00000	$$169.00000	$$8.00000	
$$26.94000	$$0.02000	$$0.67334	$$199.00000	$$169.00000	$$8.00000	
$$36.53000	$$0.04000	$$0.58314	$$199.00000	$$169.00000	$$8.00000	
$$41.82000	$$0.07000	$$0.47032	$$199.00000	$$169.00000	$$8.00000	
$$50.57000	$$0.10000	$$0.39652	$$199.00000	$$169.00000	$$8.00000	
$$51.49000	$$0.17000	$$0.32863	$$199.00000	$$169.00000	$$8.00000	
$$52.50000	$$0.21000	$$0.21056	$$199.00000	$$169.00000	$$8.00000	
$$52.28000	$$0.24000	$$0.15874	$$199.00000	$$169.00000	$$8.00000	
$$52.65000	$$0.28000	$$0.13742	$$199.00000	$$169.00000	$$8.00000	
$$51.08000	$$0.31000	$$0.10364	$$199.00000	$$169.00000	$$8.00000	
$$49.12000	$$0.34000	$$0.08068	$$199.00000	$$169.00000	$$8.00000	
$$45.50000	$$0.40000	$$0.06396	$$199.00000	$$169.00000	$$8.00000	
$$44.05000	$$0.43000	$$0.05116	$$199.00000	$$169.00000	$$8.00000	
$$47.46000	$$0.47000	$$0.04493	$$199.00000	$$169.00000	$$8.00000	
$$49.15000	$$0.50000	$$0.04001	$$199.00000	$$169.00000	$$8.00000	
$$52.20000	$$0.53000	$$0.02493	$$199.00000	$$169.00000	$$8.00000	
$$52.90000	$$0.57000	$$0.01541	$$199.00000	$$169.00000	$$8.00000	
$$54.66000	$$0.60000	$$0.02853	$$199.00000	$$169.00000	$$8.00000	
$$47.55000	$$0.67000	$$0.03477	$$199.00000	$$169.00000	$$8.00000	
$$45.77000	$$0.73000	$$0.03805	$$199.00000	$$169.00000	$$8.00000	
$$43.70000	$$0.76000	$$0.02033	$$199.00000	$$169.00000	$$8.00000	
$$39.66000	$$0.82000	$$0.01935	$$199.00000	$$169.00000	$$8.00000	
